transaction_id,transaction_date,transaction_timestamp,debit_amount,credit_amount,account_id,bank_id,sender_account,receiver_account,transaction_type,currency,payment_method,status,reference_id,bank_charge,remarks,transaction_source
4d2fda8e-03b9-43b8-b186-5f4d1999c2c9,26-02-2024,14-05-2024,377.87,550.89,816cd69b-c207-4378-ba99-66f09ec8d414,Bank_D,9828de43-f6bd-4693-8dac-245770d37a89,f6149542-4406-40b3-8dfb-35f0439fe3ad,Credit,INR,Cash,Pending,686a42a2-6755-496b-a7da-f7b9c1de5603,25.85,Young be two only modern worker item.,ATM
b9ff8bc9-2e25-4331-98b9-cd0baf23bf54,09-06-2024,14-09-2024,350.83,640.15,a7d2fb0a-bffb-499e-896b-a248b8e06a4d,Bank_A,1cd24778-c9a7-46fa-94eb-a4e221bf2ae1,b3404dbd-9847-4f05-86b5-6bd61326fe74,Debit,INR,Debit Card,Failed,07a89b63-a4c0-41ea-ba70-75813b0266d9,11.3,Issue might blood society because talk.,ATM
4f230bb0-7160-497c-8daa-886e38a8d1fa,12-01-2024,23-02-2024,648.86,341.11,367555b7-ccc5-4973-8383-34a7e81caff3,Bank_B,dd642c89-9051-46d5-8e21-dff2824912a0,aab77847-0651-44d9-a189-235f239e9a5f,Debit,INR,NEFT,Pending,99cebfc3-e5a0-400b-9500-1abc78ffe955,31.05,Wear standard move person security.,Mobile
0ed5d974-da6f-4963-a635-b756db571148,08-05-2024,06-05-2024,909.24,828.15,0f126151-e2c1-4856-a5a7-5b1f55976ab3,Bank_B,c9459c7a-9201-4224-ba2a-6d944b71bd0b,96a09fc1-112c-4b6d-901f-9f95bed535dc,Credit,INR,UPI,Completed,f9e34d79-d505-4002-bed5-5135592297aa,5.42,Rise hospital federal.,Mobile
a91dedc6-dad5-4205-9bbe-78e67778797b,31-08-2024,27-03-2024,775.28,888.41,87e02689-3b9f-4638-9179-c73db791c87e,Bank_A,756e0d43-7a1c-439a-991c-684a76a1159a,d817bd6b-8850-4488-b09c-4cc60b93a295,Credit,INR,Debit Card,Completed,fbe348d1-1684-466e-9346-e8027e86c65b,21.03,Power response pressure strategy easy hour.,ATM
9d2e635a-02f7-4cd7-8220-424fc222d05b,17-07-2024,08-11-2024,590.73,553.09,5c8a0fd6-61c8-4b8a-9da4-74e2dce599dd,Bank_A,c4753c14-6293-4581-8215-aaf590eebb59,e5a6be00-5697-4208-83ab-309ab60b45b3,Credit,INR,NEFT,Completed,4cab0a9b-9a4b-491c-a14f-ba46a5145cab,12.42,Mission experience buy contain service church.,Website
71e342ef-9f4f-4db5-805f-08c3410c9595,30-05-2024,01-10-2024,541.21,23.21,9a31b324-dde6-4857-9792-a9342bd76061,Bank_B,f4369f99-50f1-4fde-ae29-b2ac29eb2d99,4e1dd74c-2aab-48b0-8860-f5c97e2b5a0d,Debit,INR,UPI,Pending,7495d5aa-2abc-4821-a7e0-7b698dfb806c,24.34,Only theory fear wonder unit subject heavy.,Mobile
c7503c83-893a-4c1b-87d9-1b3f9286a3fa,27-10-2024,13-09-2024,597.79,820.85,4b684002-0517-4c76-959c-142666464a5f,Bank_A,bf7b683f-6843-484c-b2d4-5f9e78e8226a,36565e7a-e930-41bc-b50d-536fe968ca00,Debit,INR,UPI,Pending,5f9904c1-c406-4eab-ac34-29664522242f,19.03,As official standard where southern career.,Website
3b4767cc-3088-400b-86fa-ef6c53da2e3b,19-05-2024,08-11-2024,473.78,201.64,68c63799-0cd9-450d-b868-7c85c23b8047,Bank_D,cef9f0cb-3852-4bf7-bc65-2c8084512c3c,38ccdf42-7a49-4ef0-921d-bd8c25c62a05,Credit,INR,Cash,Pending,df842aa5-776e-4e6e-a2e0-2be4c1e36122,23.47,Provide community finish.,Website
a23edb97-1ec9-4c53-8d7b-0a10ace2b6f6,24-03-2024,26-03-2024,754.82,702.11,1ffc629d-2757-4aa5-bc53-a67874bfd2c0,Bank_C,b9cdd570-2b4d-439c-9a91-4005ca05b6d4,64aa80a8-1e00-4b1a-91b7-7df57d3edf7b,Credit,INR,Debit Card,Failed,f164b939-e14e-4398-a5a7-6c81b4ea8a42,10.74,Often travel process deal.,ATM
